TrxID,Amount,Type,TransactionTime
SYS000065,90.7,DEBIT,2025-03-02T21:27:36
SYS000066,0.5,DEBIT,2025-03-02T21:27:36
SYS000067,94.3,CREDIT,2025-02-28T21:27:36
SYS000068,61.5,DEBIT,2025-03-06T21:27:36
SYS000069,74.4,DEBIT,2025-03-04T21:27:36
SYS000070,54.7,DEBIT,2025-03-08T21:27:36
SYS000071,21.1,CREDIT,2025-03-01T21:27:36
SYS000072,80.1,DEBIT,2025-03-01T21:27:36
SYS000073,67.7,DEBIT,2025-03-07T21:27:36
SYS000074,7.6,CREDIT,2025-03-04T21:27:36
SYS000075,65.9,CREDIT,2025-03-07T21:27:36
SYS000076,87.6,DEBIT,2025-03-02T21:27:36
SYS000077,52.1,CREDIT,2025-03-09T21:27:36
SYS000078,17.6,CREDIT,2025-03-08T21:27:36
SYS000079,65.7,DEBIT,2025-03-07T21:27:36
SYS000080,4.9,DEBIT,2025-02-28T21:27:36
SYS000081,85.4,CREDIT,2025-03-09T21:27:36
SYS000082,53.0,CREDIT,2025-03-08T21:27:36
SYS000083,43.8,CREDIT,2025-03-02T21:27:36
SYS000084,90.1,DEBIT,2025-03-06T21:27:36
SYS000085,71.3,CREDIT,2025-03-01T21:27:36
SYS000086,70.8,DEBIT,2025-03-07T21:27:36
SYS000087,28.0,CREDIT,2025-03-06T21:27:36
SYS000088,98.1,CREDIT,2025-03-01T21:27:36
SYS000089,40.7,DEBIT,2025-03-07T21:27:36
SYS000090,38.6,DEBIT,2025-02-28T21:27:36
SYS000091,34.8,CREDIT,2025-03-02T21:27:36
SYS000092,60.1,CREDIT,2025-03-09T21:27:36
SYS000093,19.1,DEBIT,2025-03-07T21:27:36
SYS000094,76.3,CREDIT,2025-03-09T21:27:36
SYS000095,56.7,CREDIT,2025-03-01T21:27:36
SYS000096,98.2,DEBIT,2025-03-08T21:27:36
SYS000097,62.7,CREDIT,2025-03-08T21:27:36
SYS000098,8.2,DEBIT,2025-03-09T21:27:36
SYS000099,64.4,DEBIT,2025-03-05T21:27:36
SYS000100,40.0,DEBIT,2025-03-02T21:27:36
